id;state;year;legal
1;Alabama;2011;No
2;Alaska;2011;No
4;Arizona;2011;No
5;Arkansas;2011;No
6;California;2011;No
8;Colorado;2011;No
9;Connecticut;2011;No
10;Delaware;2011;No
12;Florida;2011;No
13;Georgia;2011;No
15;Hawaii;2011;No
16;Idaho;2011;No
17;Illinois;2011;No
18;Indiana;2011;No
19;Iowa;2011;No
20;Kansas;2011;No
21;Kentucky;2011;No
22;Louisiana;2011;No
23;Maine;2011;No
24;Maryland;2011;No
25;Massachusetts;2011;No
26;Michigan;2011;No
27;Minnesota;2011;No
28;Mississippi;2011;No
29;Missouri;2011;No
30;Montana;2011;No
31;Nebraska;2011;No
32;Nevada;2011;No
33;New Hampshire;2011;No
34;New Jersey;2011;No
35;New Mexico;2011;No
36;New York;2011;No
37;North Carolina;2011;No
38;North Dakota;2011;No
39;Ohio;2011;No
40;Oklahoma;2011;No
41;Oregon;2011;No
42;Pennsylvania;2011;No
44;Rhode Island;2011;No
45;South Carolina;2011;No
46;South Dakota;2011;No
47;Tennessee;2011;No
48;Texas;2011;No
49;Utah;2011;No
50;Vermont;2011;No
51;Virginia;2011;No
53;Washington;2011;No
54;West Virginia;2011;No
55;Wisconsin;2011;No
56;Wyoming;2011;No
1;Alabama;2012;No
2;Alaska;2012;No
4;Arizona;2012;No
5;Arkansas;2012;No
6;California;2012;No
8;Colorado;2012;Yes
9;Connecticut;2012;No
10;Delaware;2012;No
12;Florida;2012;No
13;Georgia;2012;No
15;Hawaii;2012;No
16;Idaho;2012;No
17;Illinois;2012;No
18;Indiana;2012;No
19;Iowa;2012;No
20;Kansas;2012;No
21;Kentucky;2012;No
22;Louisiana;2012;No
23;Maine;2012;No
24;Maryland;2012;No
25;Massachusetts;2012;No
26;Michigan;2012;No
27;Minnesota;2012;No
28;Mississippi;2012;No
29;Missouri;2012;No
30;Montana;2012;No
31;Nebraska;2012;No
32;Nevada;2012;No
33;New Hampshire;2012;No
34;New Jersey;2012;No
35;New Mexico;2012;No
36;New York;2012;No
37;North Carolina;2012;No
38;North Dakota;2012;No
39;Ohio;2012;No
40;Oklahoma;2012;No
41;Oregon;2012;No
42;Pennsylvania;2012;No
44;Rhode Island;2012;No
45;South Carolina;2012;No
46;South Dakota;2012;No
47;Tennessee;2012;No
48;Texas;2012;No
49;Utah;2012;No
50;Vermont;2012;No
51;Virginia;2012;No
53;Washington;2012;Yes
54;West Virginia;2012;No
55;Wisconsin;2012;No
56;Wyoming;2012;No
1;Alabama;2013;No
2;Alaska;2013;No
4;Arizona;2013;No
5;Arkansas;2013;No
6;California;2013;No
8;Colorado;2013;Yes
9;Connecticut;2013;No
10;Delaware;2013;No
12;Florida;2013;No
13;Georgia;2013;No
15;Hawaii;2013;No
16;Idaho;2013;No
17;Illinois;2013;No
18;Indiana;2013;No
19;Iowa;2013;No
20;Kansas;2013;No
21;Kentucky;2013;No
22;Louisiana;2013;No
23;Maine;2013;No
24;Maryland;2013;No
25;Massachusetts;2013;No
26;Michigan;2013;No
27;Minnesota;2013;No
28;Mississippi;2013;No
29;Missouri;2013;No
30;Montana;2013;No
31;Nebraska;2013;No
32;Nevada;2013;No
33;New Hampshire;2013;No
34;New Jersey;2013;No
35;New Mexico;2013;No
36;New York;2013;No
37;North Carolina;2013;No
38;North Dakota;2013;No
39;Ohio;2013;No
40;Oklahoma;2013;No
41;Oregon;2013;No
42;Pennsylvania;2013;No
44;Rhode Island;2013;No
45;South Carolina;2013;No
46;South Dakota;2013;No
47;Tennessee;2013;No
48;Texas;2013;No
49;Utah;2013;No
50;Vermont;2013;No
51;Virginia;2013;No
53;Washington;2013;Yes
54;West Virginia;2013;No
55;Wisconsin;2013;No
56;Wyoming;2013;No
1;Alabama;2014;No
2;Alaska;2014;Yes
4;Arizona;2014;No
5;Arkansas;2014;No
6;California;2014;No
8;Colorado;2014;Yes
9;Connecticut;2014;No
10;Delaware;2014;No
12;Florida;2014;No
13;Georgia;2014;No
15;Hawaii;2014;No
16;Idaho;2014;No
17;Illinois;2014;No
18;Indiana;2014;No
19;Iowa;2014;No
20;Kansas;2014;No
21;Kentucky;2014;No
22;Louisiana;2014;No
23;Maine;2014;No
24;Maryland;2014;No
25;Massachusetts;2014;No
26;Michigan;2014;No
27;Minnesota;2014;No
28;Mississippi;2014;No
29;Missouri;2014;No
30;Montana;2014;No
31;Nebraska;2014;No
32;Nevada;2014;No
33;New Hampshire;2014;No
34;New Jersey;2014;No
35;New Mexico;2014;No
36;New York;2014;No
37;North Carolina;2014;No
38;North Dakota;2014;No
39;Ohio;2014;No
40;Oklahoma;2014;No
41;Oregon;2014;Yes
42;Pennsylvania;2014;No
44;Rhode Island;2014;No
45;South Carolina;2014;No
46;South Dakota;2014;No
47;Tennessee;2014;No
48;Texas;2014;No
49;Utah;2014;No
50;Vermont;2014;No
51;Virginia;2014;No
53;Washington;2014;Yes
54;West Virginia;2014;No
55;Wisconsin;2014;No
56;Wyoming;2014;No
1;Alabama;2015;No
2;Alaska;2015;Yes
4;Arizona;2015;No
5;Arkansas;2015;No
6;California;2015;No
8;Colorado;2015;Yes
9;Connecticut;2015;No
10;Delaware;2015;No
12;Florida;2015;No
13;Georgia;2015;No
15;Hawaii;2015;No
16;Idaho;2015;No
17;Illinois;2015;No
18;Indiana;2015;No
19;Iowa;2015;No
20;Kansas;2015;No
21;Kentucky;2015;No
22;Louisiana;2015;No
23;Maine;2015;No
24;Maryland;2015;No
25;Massachusetts;2015;No
26;Michigan;2015;No
27;Minnesota;2015;No
28;Mississippi;2015;No
29;Missouri;2015;No
30;Montana;2015;No
31;Nebraska;2015;No
32;Nevada;2015;No
33;New Hampshire;2015;No
34;New Jersey;2015;No
35;New Mexico;2015;No
36;New York;2015;No
37;North Carolina;2015;No
38;North Dakota;2015;No
39;Ohio;2015;No
40;Oklahoma;2015;No
41;Oregon;2015;Yes
42;Pennsylvania;2015;No
44;Rhode Island;2015;No
45;South Carolina;2015;No
46;South Dakota;2015;No
47;Tennessee;2015;No
48;Texas;2015;No
49;Utah;2015;No
50;Vermont;2015;No
51;Virginia;2015;No
53;Washington;2015;Yes
54;West Virginia;2015;No
55;Wisconsin;2015;No
56;Wyoming;2015;No
1;Alabama;2016;No
2;Alaska;2016;Yes
4;Arizona;2016;No
5;Arkansas;2016;No
6;California;2016;Yes
8;Colorado;2016;Yes
9;Connecticut;2016;No
10;Delaware;2016;No
12;Florida;2016;No
13;Georgia;2016;No
15;Hawaii;2016;No
16;Idaho;2016;No
17;Illinois;2016;No
18;Indiana;2016;No
19;Iowa;2016;No
20;Kansas;2016;No
21;Kentucky;2016;No
22;Louisiana;2016;No
23;Maine;2016;Yes
24;Maryland;2016;No
25;Massachusetts;2016;Yes
26;Michigan;2016;No
27;Minnesota;2016;No
28;Mississippi;2016;No
29;Missouri;2016;No
30;Montana;2016;No
31;Nebraska;2016;No
32;Nevada;2016;Yes
33;New Hampshire;2016;No
34;New Jersey;2016;No
35;New Mexico;2016;No
36;New York;2016;No
37;North Carolina;2016;No
38;North Dakota;2016;No
39;Ohio;2016;No
40;Oklahoma;2016;No
41;Oregon;2016;Yes
42;Pennsylvania;2016;No
44;Rhode Island;2016;No
45;South Carolina;2016;No
46;South Dakota;2016;No
47;Tennessee;2016;No
48;Texas;2016;No
49;Utah;2016;No
50;Vermont;2016;No
51;Virginia;2016;No
53;Washington;2016;Yes
54;West Virginia;2016;No
55;Wisconsin;2016;No
56;Wyoming;2016;No
1;Alabama;2017;No
2;Alaska;2017;Yes
4;Arizona;2017;No
5;Arkansas;2017;No
6;California;2017;Yes
8;Colorado;2017;Yes
9;Connecticut;2017;No
10;Delaware;2017;No
12;Florida;2017;No
13;Georgia;2017;No
15;Hawaii;2017;No
16;Idaho;2017;No
17;Illinois;2017;No
18;Indiana;2017;No
19;Iowa;2017;No
20;Kansas;2017;No
21;Kentucky;2017;No
22;Louisiana;2017;No
23;Maine;2017;Yes
24;Maryland;2017;No
25;Massachusetts;2017;Yes
26;Michigan;2017;No
27;Minnesota;2017;No
28;Mississippi;2017;No
29;Missouri;2017;No
30;Montana;2017;No
31;Nebraska;2017;No
32;Nevada;2017;Yes
33;New Hampshire;2017;No
34;New Jersey;2017;No
35;New Mexico;2017;No
36;New York;2017;No
37;North Carolina;2017;No
38;North Dakota;2017;No
39;Ohio;2017;No
40;Oklahoma;2017;No
41;Oregon;2017;Yes
42;Pennsylvania;2017;No
44;Rhode Island;2017;No
45;South Carolina;2017;No
46;South Dakota;2017;No
47;Tennessee;2017;No
48;Texas;2017;No
49;Utah;2017;No
50;Vermont;2017;No
51;Virginia;2017;No
53;Washington;2017;Yes
54;West Virginia;2017;No
55;Wisconsin;2017;No
56;Wyoming;2017;No
1;Alabama;2018;No
2;Alaska;2018;Yes
4;Arizona;2018;No
5;Arkansas;2018;No
6;California;2018;Yes
8;Colorado;2018;Yes
9;Connecticut;2018;No
10;Delaware;2018;No
12;Florida;2018;No
13;Georgia;2018;No
15;Hawaii;2018;No
16;Idaho;2018;No
17;Illinois;2018;No
18;Indiana;2018;No
19;Iowa;2018;No
20;Kansas;2018;No
21;Kentucky;2018;No
22;Louisiana;2018;No
23;Maine;2018;Yes
24;Maryland;2018;No
25;Massachusetts;2018;Yes
26;Michigan;2018;Yes
27;Minnesota;2018;No
28;Mississippi;2018;No
29;Missouri;2018;No
30;Montana;2018;No
31;Nebraska;2018;No
32;Nevada;2018;Yes
33;New Hampshire;2018;No
34;New Jersey;2018;No
35;New Mexico;2018;No
36;New York;2018;No
37;North Carolina;2018;No
38;North Dakota;2018;No
39;Ohio;2018;No
40;Oklahoma;2018;No
41;Oregon;2018;Yes
42;Pennsylvania;2018;No
44;Rhode Island;2018;No
45;South Carolina;2018;No
46;South Dakota;2018;No
47;Tennessee;2018;No
48;Texas;2018;No
49;Utah;2018;No
50;Vermont;2018;Yes
51;Virginia;2018;No
53;Washington;2018;Yes
54;West Virginia;2018;No
55;Wisconsin;2018;No
56;Wyoming;2018;No
1;Alabama;2019;No
2;Alaska;2019;Yes
4;Arizona;2019;No
5;Arkansas;2019;No
6;California;2019;Yes
8;Colorado;2019;Yes
9;Connecticut;2019;No
10;Delaware;2019;No
12;Florida;2019;No
13;Georgia;2019;No
15;Hawaii;2019;No
16;Idaho;2019;No
17;Illinois;2019;Yes
18;Indiana;2019;No
19;Iowa;2019;No
20;Kansas;2019;No
21;Kentucky;2019;No
22;Louisiana;2019;No
23;Maine;2019;Yes
24;Maryland;2019;No
25;Massachusetts;2019;Yes
26;Michigan;2019;Yes
27;Minnesota;2019;No
28;Mississippi;2019;No
29;Missouri;2019;No
30;Montana;2019;No
31;Nebraska;2019;No
32;Nevada;2019;Yes
33;New Hampshire;2019;No
34;New Jersey;2019;No
35;New Mexico;2019;No
36;New York;2019;No
37;North Carolina;2019;No
38;North Dakota;2019;No
39;Ohio;2019;No
40;Oklahoma;2019;No
41;Oregon;2019;Yes
42;Pennsylvania;2019;No
44;Rhode Island;2019;No
45;South Carolina;2019;No
46;South Dakota;2019;No
47;Tennessee;2019;No
48;Texas;2019;No
49;Utah;2019;No
50;Vermont;2019;Yes
51;Virginia;2019;No
53;Washington;2019;Yes
54;West Virginia;2019;No
55;Wisconsin;2019;No
56;Wyoming;2019;No
1;Alabama;2020;No
2;Alaska;2020;Yes
4;Arizona;2020;Yes
5;Arkansas;2020;No
6;California;2020;Yes
8;Colorado;2020;Yes
9;Connecticut;2020;No
10;Delaware;2020;No
12;Florida;2020;No
13;Georgia;2020;No
15;Hawaii;2020;No
16;Idaho;2020;No
17;Illinois;2020;Yes
18;Indiana;2020;No
19;Iowa;2020;No
20;Kansas;2020;No
21;Kentucky;2020;No
22;Louisiana;2020;No
23;Maine;2020;Yes
24;Maryland;2020;No
25;Massachusetts;2020;Yes
26;Michigan;2020;Yes
27;Minnesota;2020;No
28;Mississippi;2020;No
29;Missouri;2020;No
30;Montana;2020;Yes
31;Nebraska;2020;No
32;Nevada;2020;Yes
33;New Hampshire;2020;No
34;New Jersey;2020;Yes
35;New Mexico;2020;No
36;New York;2020;No
37;North Carolina;2020;No
38;North Dakota;2020;No
39;Ohio;2020;No
40;Oklahoma;2020;No
41;Oregon;2020;Yes
42;Pennsylvania;2020;No
44;Rhode Island;2020;No
45;South Carolina;2020;No
46;South Dakota;2020;No
47;Tennessee;2020;No
48;Texas;2020;No
49;Utah;2020;No
50;Vermont;2020;Yes
51;Virginia;2020;No
53;Washington;2020;Yes
54;West Virginia;2020;No
55;Wisconsin;2020;No
56;Wyoming;2020;No
1;Alabama;2021;No
2;Alaska;2021;Yes
4;Arizona;2021;Yes
5;Arkansas;2021;No
6;California;2021;Yes
8;Colorado;2021;Yes
9;Connecticut;2021;Yes
10;Delaware;2021;No
12;Florida;2021;No
13;Georgia;2021;No
15;Hawaii;2021;No
16;Idaho;2021;No
17;Illinois;2021;Yes
18;Indiana;2021;No
19;Iowa;2021;No
20;Kansas;2021;No
21;Kentucky;2021;No
22;Louisiana;2021;No
23;Maine;2021;Yes
24;Maryland;2021;No
25;Massachusetts;2021;Yes
26;Michigan;2021;Yes
27;Minnesota;2021;No
28;Mississippi;2021;No
29;Missouri;2021;No
30;Montana;2021;Yes
31;Nebraska;2021;No
32;Nevada;2021;Yes
33;New Hampshire;2021;No
34;New Jersey;2021;Yes
35;New Mexico;2021;Yes
36;New York;2021;Yes
37;North Carolina;2021;No
38;North Dakota;2021;No
39;Ohio;2021;No
40;Oklahoma;2021;No
41;Oregon;2021;Yes
42;Pennsylvania;2021;No
44;Rhode Island;2021;No
45;South Carolina;2021;No
46;South Dakota;2021;No
47;Tennessee;2021;No
48;Texas;2021;No
49;Utah;2021;No
50;Vermont;2021;Yes
51;Virginia;2021;Yes
53;Washington;2021;Yes
54;West Virginia;2021;No
55;Wisconsin;2021;No
56;Wyoming;2021;No
1;Alabama;2022;No
2;Alaska;2022;Yes
4;Arizona;2022;Yes
5;Arkansas;2022;No
6;California;2022;Yes
8;Colorado;2022;Yes
9;Connecticut;2022;Yes
10;Delaware;2022;No
12;Florida;2022;No
13;Georgia;2022;No
15;Hawaii;2022;No
16;Idaho;2022;No
17;Illinois;2022;Yes
18;Indiana;2022;No
19;Iowa;2022;No
20;Kansas;2022;No
21;Kentucky;2022;No
22;Louisiana;2022;No
23;Maine;2022;Yes
24;Maryland;2022;Yes
25;Massachusetts;2022;Yes
26;Michigan;2022;Yes
27;Minnesota;2022;No
28;Mississippi;2022;No
29;Missouri;2022;Yes
30;Montana;2022;Yes
31;Nebraska;2022;No
32;Nevada;2022;Yes
33;New Hampshire;2022;No
34;New Jersey;2022;Yes
35;New Mexico;2022;Yes
36;New York;2022;Yes
37;North Carolina;2022;No
38;North Dakota;2022;No
39;Ohio;2022;No
40;Oklahoma;2022;No
41;Oregon;2022;Yes
42;Pennsylvania;2022;No
44;Rhode Island;2022;Yes
45;South Carolina;2022;No
46;South Dakota;2022;No
47;Tennessee;2022;No
48;Texas;2022;No
49;Utah;2022;No
50;Vermont;2022;Yes
51;Virginia;2022;Yes
53;Washington;2022;Yes
54;West Virginia;2022;No
55;Wisconsin;2022;No
56;Wyoming;2022;No
